Country,Region-Geo,Continent,Region,Year,Leap Year,AgriculturalLand,BodyMassIndex_M,BodyMassIndex_F,Cellphones,ChildrenPerWoman,CO2Emissions,DemocracyScore,EnergyUsePerPerson,Exports,Femalesaged25to54labourforceparticipationrate,Forestarea,GDPpercapita,Governmenthealthspendingperpersontotal,Hightotechnologyexports,Hourlycompensation,Imports,IncomePerPerson,Incomeshareofpoorest10pct,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,Literacyrateadulttotal,Literacyrateyouthtotal,Longtermunemploymentrate,Medianage,MedicalDoctors,Murder,Murderedmen,Murderedwomen,Oilconsumptionperperson,Populationgrowth,Populationtotal,Populationdensity,Poverty,Ratioofgirlstoboysinprimaryandsecondaryeducation,Renewablewater,Residentialelectricityuseperperson,Suicideage15to29,Taxrevenue,Teenfertilityrate,TotalGDPUS,TotalhealthspendingperpersonUS,Tradebalance,Trafficdeaths,UrbanpopulationTotal,Urbanpopulationgrowth,YearlyCO2emission
New Caledonia,Oceania,Oceania,East Asia & Pacific,1956,[1956],,,,,5.223,16.79099104,,,,,,,,,,,25904.73336,,,,,,53.504,,,,,,,,,,,69442,3.738,,,,,,,,,,,,,,1166
New Zealand,Oceania,Oceania,East Asia & Pacific,1956,[1956],,,,,3.47462,4.436054152,10,,,,,,,,,,24373.40551,,,24.8,,,70.74,,,,,,0.4652868,0.5044407,0.4296038,,,2182946,8.069,,,,,4.445047,,,,,,16.18586,,,9683.666667
Nicaragua,America - Central,Central and South America,America,1956,[1956],,,,,7.497,0.24262811,-8,,,,,,,,,,6577.778874,,,139.3,,,44.474,,,,,,,,,,,1556566,11.974,,,,,,,,,,,,,,377.6666667
Niger,Africa - Western,Africa,Sub-Saharan Africa,1956,[1956],,,,,6.948,,,,,,,,,,,,1641.45409,,,,,,35.188,,,,,,,,,,,2911882,2.298,,,,,,,,,,,,,,
Nigeria,Africa - Western,Africa,Sub-Saharan Africa,1956,[1956],,,,,6.354,0.071210098,,,,,,,,,,,1082.520384,,,,,,35.368,,,,,,,,,,,42325458,45.818,,,,,,,,,,,,,,3014
Niue,Oceania,Oceania,East Asia & Pacific,1956,[1956],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4702,18.085,,,,,,,,,,,,,,
North Korea,Asia - Eastern,Asia,East Asia & Pacific,1956,[1956],,,,,,0.912662161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.559,,,,,,,,,,,,,,8972.333333
Northern Mariana Islands,Oceania,Oceania,East Asia & Pacific,1956,[1956],,,,,,,,,,,,,,,,,4881.514974,,,,,,,,,,,,,,,,,8427,18.162,,,,,,,,,,,,,,
Norway,Europe - Northern,Europe,Europe & Central Asia,1956,[1956],,,,,2.86,3.459533586,10,,,,,,,,,,10399.98183,,,20.5,,,73.49,,,,,,0.3879992,0.3984036,0.3818055,,,3458366,8.979,,,,,3.942827,,,,,,8.810077,,,11964.33333
Oman,Asia - Western,Asia,Middle East & North Africa,1956,[1956],,,,,7.251,,-6,,,,,,,,,,2155.839893,,,,,,39.232,,,,,,,,,,,511231,1.652,,,,,,,,,,,,,,
Pakistan,Asia - Southern,Asia,South Asia,1956,[1956],,,,,6.6,,8,,,,,,,,,,733.7974462,,,214.7,,,42.357,,,,,,,,,,,41973583,52.724,,,,,,,,,,,,,,
Palau,Oceania,Oceania,East Asia & Pacific,1956,[1956],,,,,,,,,,,,,,,,,12477.03135,,,,,,,,,,,,,,,,,8525,18.573,,,,,,,,,,,,,,
Panama,America - Central,Central and South America,America,1956,[1956],,,,,5.868,0.630781403,4,,,,,,,,,,2750.551149,,,74.4,,,58.697,,,,,,,,,,,1005631,13.317,,,,,,,,,,,,,,634.3333333
Papua New Guinea,Oceania,Oceania,East Asia & Pacific,1956,[1956],,,,,6.254,0.069461509,,,,,,,,,,,1057.259076,,,148.3,,,36.385,,,,,,,,,,,1847546,3.992,,,,,,,,,,,,,,128.3333333
Paraguay,America - South,Central and South America,America,1956,[1956],,,,,6.51,0.115278943,-9,,,,,,,,,,2006.181608,,,63.6,,,63.051,,,,,,,,,,,1717573,4.223,,,,,,,,,,,,,,198
Peru,America - South,Central and South America,America,1956,[1956],,,,,6.857,0.709714704,5,,,,,,,,,,4157.300479,,,151.1,,,45.504,,,,,,,,,,,8901699,6.926,,,,,,,,,,,,,,6317.666667
Philippines,Asia - South Eastern,Asia,East Asia & Pacific,1956,[1956],,,,,7.334,0.275367027,5,,,,,,,,,,1513.276577,,,77.2,,,56.604,,,,,,,,,,,22729664,75.766,,,,,,,,,,,,,,6259
Poland,Europe - Eastern,Europe,Europe & Central Asia,1956,[1956],,,,,3.425,6.023544462,-7,,,,,,,,,,4576.687377,,,71,,,64.688,,,,,,,,,,,27650608,85.539,,,,,,,,,,,,,,166554.6667
Portugal,Europe - Southern,Europe,Europe & Central Asia,1956,[1956],,,,,3.111,0.822027117,-9,,,,,,,,,,3639.99042,,,87.8,,,61.24,,,,,,1.556294,2.333875,0.8272918,,,8724773,94.853,,,,,6.450546,,20.066,,,,7.039351,,,7172
Puerto Rico,America - Central,Central and South America,America,1956,[1956],,,,,4.906,,,,,,,,,,,,3738.966808,,,55,,,66.994,,,,,,,,,,,2264475,255.152,,,,,,,,,,,,,,
Qatar,Asia - Western,Asia,Middle East & North Africa,1956,[1956],,,,,6.971,13.49693252,,,,,,,,,,,11932.81362,,,,,,58.04,,,,,,,,,,,37490,3.408,,,,,,,,,,,,,,506
Romania,Europe - Eastern,Europe,Europe & Central Asia,1956,[1956],,,,,2.867256637,2.307720373,-7,,,,,,,,,,3829.439685,,,82,,,62.387,,,,,,,,,,,17687296,74.194,,,,,,,,,,,,,,40817.33333
Russian Federation,Europe - Eastern,Europe,Europe & Central Asia,1956,[1956],,,,,2.86,,-7,,,,,,,,,,6291.566099,,,,,,66.165,,,,,,,,,,,113197858,6.629,,,,,,,,,,,,,,
Rwanda,Africa - Eastern,Africa,Sub-Saharan Africa,1956,[1956],,,,,8.118,,,,,,,,,,,,532.7615924,,,140.6,,,41.056,,,,,,,,,,,2457436,93.304,,,,,,,,,,,,,,
Saint Helena,Africa - Western,Africa,Sub-Saharan Africa,1956,[1956],,,,,,,,,,,,,,,,,1709.71761,,,,,,,,,,,,,,,,,4890,,,,,,,,,,,,,,,
Saint Kitts and Nevis,America - Central,Central and South America,America,1956,[1956],,,,,,,,,,,,,,,,,2386.443126,,,,,,,,,,,,,,,,,49268,,,,,,,,,,,,,,,
Saint Lucia,America - Central,Central and South America,America,1956,[1956],,,,,6.798,,,,,,,,,,,,1779.981425,,,,,,54.205,,,,,,,,,,,87403,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,America - Central,Central and South America,America,1956,[1956],,,,,7.373,,,,,,,,,,,,1992.362414,,,,,,53.722,,,,,,,,,,,75073,,,,,,,,,,,,,,,
Saint-Pierre-et-Miquelon,America - North,North America,America,1956,[1956],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4763,,,,,,,,,,,,,,,
Samoa,Oceania,Oceania,East Asia & Pacific,1956,[1956],,,,,7.633,0.113338966,,,,,,,,,,,2983.07929,,,,,,47.733,,,,,,,,,,,97054,34.283,,,,,,,,,,,,,,11
San Marino,Europe - Southern,Europe,Europe & Central Asia,1956,[1956],,,,,,,,,,,,,,,,,11750.01611,,,,,,,,,,,,,,,,,14044,230.23,,,,,,,,,,,,,,
Sao Tome and Principe,Africa - Central,Africa,Sub-Saharan Africa,1956,[1956],,,,,6.187,0.122739775,,,,,,,,,,,868.2120919,,,,,,48.09,,,,,,,,,,,59747,61.978,,,,,,,,,,,,,,7.333333333
Saudi Arabia,Asia - Western,Asia,Middle East & North Africa,1956,[1956],,,,,7.165,0.450059321,-10,,,,,,,,,,8042.357973,,,,,,43.652,,,,,,,,,,,3625448,1.686,,,,,,,,,,,,,,1631.666667
Senegal,Africa - Western,Africa,Sub-Saharan Africa,1956,[1956],,,,,6.762,,,,,,,,,,,,1544.672693,,,128.5,,,37.001,,,,,,,,,,,2748861,13.973,,,,,,,,,,,,,,
Serbia,Europe - Southern,Europe,Europe & Central Asia,1956,[1956],,,,,2.853,,-7,,,,,,,,,,4307.014876,,,,,,60.833,,,,,,,,,,,7298269,82.596,,,,,,,,,,,,,,
Seychelles,Africa - Eastern,Africa,Sub-Saharan Africa,1956,[1956],,,,,4.93,,,,,,,,,,,,5135.942815,,,78,,,58.739,,,,,,,,,,,39312,86.4,,,,,,,,,,,,,,
Sierra Leone,Africa - Western,Africa,Sub-Saharan Africa,1956,[1956],,,,,5.849,0.087270207,,,,,,,,,,,981.9676148,,,218.2833096,,,29.528,,,,,,,,,,,2058740,28.697,,,,,,,,,,,,,,179.6666667
Singapore,Asia - South Eastern,Asia,East Asia & Pacific,1956,[1956],,,,,6.538,,,,,,,,,,,,3204.489283,,,47.2,,,63.095,,,,,,,,,,,1373111,2010.411,,,,,,,,,,,,,,
Slovak Republic,Europe - Eastern,Europe,Europe & Central Asia,1956,[1956],,,,,3.329,,-7,,,,,,,,,,5797.496197,,,,,,68.37,,,,,,,,,,,3834942,78.211,,,,,,,51.19,,,,,,,
Slovenia,Europe - Southern,Europe,Europe & Central Asia,1956,[1956],,,,,2.386,,-7,,,,,,,,,,5068.952405,,,,,,67.301,,,,,,,,,,,1542741,76.162,,,,,,,,,,,,,,
Solomon Islands,Oceania,Oceania,East Asia & Pacific,1956,[1956],,,,,6.397,0.094464387,,,,,,,,,,,1086.131682,,,,,,47.158,,,,,,,,,,,116446,3.637,,,,,,,,,,,,,,11
Somalia,Africa - Eastern,Africa,Sub-Saharan Africa,1956,[1956],,,,,7.25,0.027028083,,,,,,,,,,,1236.833051,,,,,,35.393,,,,,,,,,,,2577566,4.042,,,,,,,,,,,,,,69.66666667
South Africa,Africa - Southern,Africa,Sub-Saharan Africa,1956,[1956],,,,,6.232,5.541669427,4,,,,,,,,,,5370.008789,,,,,,47.222,,,,,,,,,,,15759932,12.907,,,,,,,,,,,,,,87336.33333
South Sudan,Africa - Eastern,Africa,Sub-Saharan Africa,1956,[1956],,,,,6.685,,,,,,,,,,,,1854.124459,,,,,,29.81,,,,,,,,,,,2152290,,,,,,,,,,,,,,,
Spain,Europe - Southern,Europe,Europe & Central Asia,1956,[1956],,,,,2.657,1.445093899,-7,,,,,,,,,,4462.540356,,,59.8,,,66.82,,,,,,0.4480765,0.6971139,0.2349823,,,29328890,57.963,,,,,3.778128,,10.278,,,,5.89878,,,42383
Sri Lanka,Asia - Southern,Asia,South Asia,1956,[1956],,,,,5.876,0.15479324,7,,,,,,,,,,1084.424793,,,80.4,,,57.4,,,,,,4.846832,7.376883,1.743005,,,9167067,139.721,,,,,13.44742,,,,,,3.441095,,,1419
Sudan,Africa - Northern,Africa,Sub-Saharan Africa,1956,[1956],,,,,6.637,0.107359915,8,,,,,,,,,,1844.530025,,,112.6,,,46.369,,,,,,,,,,,8367493,4.198,,,,,,,,,,,,,,898.3333333
Suriname,America - South,Central and South America,America,1956,[1956],,,,,6.566,1.324791472,,,,,,,,,,,3650.526282,,,,,,57.981,,,,,,,,,,,257399,1.571,,,,,,,,,,,,,,341
Swaziland,Africa - Southern,Africa,Sub-Saharan Africa,1956,[1956],,,,,6.693,0.011627846,,,,,,,,,,,1228.312196,,,147.3,,,42.901,,,,,,,,,,,315335,18.16,,,,,,,,,,,,,,3.666666667
Sweden,Europe - Northern,Europe,Europe & Central Asia,1956,[1956],,,,,2.306,5.944324311,10,,,,,,,,,,10896.49321,,,17.5,,,72.66,,,,,,0.9057601,0.961129,0.8521571,,,7303942,16.232,,,,,10.17803,,,,,,12.74581,,,43417
Switzerland,Europe - Western,Europe,Europe & Central Asia,1956,[1956],,,,,2.356,3.397760679,10,,,,,,,,,,17501.93196,,,24.6,,,70.21,,,,,,0.649732,0.8205443,0.4926951,,,5026644,121.758,,,,,17.06111,,13.718,,,,18.35566,,,17079.33333
Taiwan,Asia - Eastern,Asia,East Asia & Pacific,1956,[1956],,,,,6.51,0.782968618,-8,,,,,,,,,,1737.365424,,,33,,,62.5,,,,,,,,,,,9825000,,,,,,,,51,,,,,,,7692.666667
Tajikistan,Asia - Central,Asia,Europe & Central Asia,1956,[1956],,,,,6.149,,-7,,,,,,,,,,2742.066838,,,,,,54.496,,,,,,,,,,,1835763,12.829,,,,,,,,,,,,,,
Thailand,Asia - South Eastern,Asia,East Asia & Pacific,1956,[1956],,,,,6.143,0.108014859,-3,,,,,,,,,,810.6167294,,,115.8,,,53.097,,,,,,,,,,,24271352,47.302,,,,,,,,,,,,,,2621.666667
Timor-Leste,Asia - South Eastern,Asia,East Asia & Pacific,1956,[1956],,,,,6.369,,,,,,,,,,,,817.1199623,,,,,,31.719,,,,,,,,,,,468314,31.485,,,,,,,,,,,,,,
Togo,Africa - Western,Africa,Sub-Saharan Africa,1956,[1956],,,,,6.377,0.027048566,,,,,,,,,,,913.1647992,,,172.4,,,37.67,,,,,,,,,,,1491145,26.259,,,,,,,,,,,,,,40.33333333
Tokelau,Oceania,Oceania,East Asia & Pacific,1956,[1956],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666,138.833,,,,,,,,,,,,,,
Tonga,Oceania,Oceania,East Asia & Pacific,1956,[1956],,,,,7.308,0.130097455,,,,,,,,,,,1523.972846,,,,,,59.925,,,,,,,,,,,56368,86.72,,,,,,,,,,,,,,7.333333333
Trinidad and Tobago,America - Central,Central and South America,America,1956,[1956],,,,,5.339,3.868799115,,,,,,,,,,,3881.042738,,,63.5,,,59.922,,,,,,8.85862,13.14592,4.477272,,,744934,145.211,,,,,5.470273,,,,,,13.15195,,,2882
Tunisia,Africa - Northern,Africa,Middle East & North Africa,1956,[1956],,,,,6.824,0.397584762,,,,,,,,,,,1472.771748,,,,,,39.966,,,,,,,,,,,3928722,24.013,,,,,,,,,,,,,,1562
Turkey,Asia - Western,Asia,Europe & Central Asia,1956,[1956],,,,,6.502,0.568324178,4,,,,,,,,,,2523.458495,,,187.7,,,42.76,,,,,,,,,,,25290730,32.277,,,,,,,,,,,,,,14373.33333
Turkmenistan,Asia - Central,Asia,Europe & Central Asia,1956,[1956],,,,,5.927,,-7,,,,,,,,,,4019.570271,,,,,,52.776,,,,,,,,,,,1397172,2.862,,,,,,,,,,,,,,
Turks and Caicos Islands,America - Central,Central and South America,America,1956,[1956],,,,,,,,,,,,,,,,,3674.063387,,,,,,,,,,,,,,,,,5318,12.367,,,,,,,,,,,,,,
Tuvalu,Oceania,Oceania,East Asia & Pacific,1956,[1956],,,,,,,,,,,,,,,,,2039.948308,,,,,,,,,,,,,,,,,5658,217.615,,,,,,,,,,,,,,
Uganda,Africa - Eastern,Africa,Sub-Saharan Africa,1956,[1956],,,,,6.929,0.043593044,,,,,,,,,,,763.1372031,,,145.3,,,41.803,,,,,,,,,,,6056012,25.125,,,,,,,,,,,,,,264
Ukraine,Europe - Eastern,Europe,Europe & Central Asia,1956,[1956],,,,,2.787,,-7,,,,,,,,,,3906.270521,,,,,,68.471,,,,,,,,,,,40647142,67.33,,,,,,,,,,,,,,
United Arab Emirates,Asia - Western,Asia,Middle East & North Africa,1956,[1956],,,,,6.984,,,,,,,,,,,,4823.932666,,,,,,47.895,,,,,,,,,,,80233,0.96,,,,,,,,,,,,,,
United Kingdom,Europe - Western,Europe,Europe & Central Asia,1956,[1956],,,,,2.402,11.17459116,10,,,,,,,,,,11158.95181,,,24.7,,,70.48,,,,,,0.4176784,0.4139447,0.4173,,,51404774,211.629,,,,,4.076042,,27.3,,,,10.88631,,,574427.3333
United States of America,America - North,North America,America,1956,[1956],,,,,3.654,16.38797776,10,,,,,,,,,,17783.272,,,27.8,,,69.71,,,,,,4.856393,7.460617,2.378179,,,174211875,18.092,,,,,5.220441,,95.312,,,,25.04031,,,2854980.333
Uruguay,America - South,Central and South America,America,1956,[1956],,,,,2.805,1.674780575,8,,,,,,,,,,6182.25544,,,55.3,,,66.785,,,,,,5.280823,8.474422,2.109525,,,2403897,13.735,,,,,21.34263,,,,,,7.507703,,,4026
Uzbekistan,Asia - Central,Asia,Europe & Central Asia,1956,[1956],,,,,6.375,,-7,,,,,,,,,,1426.134577,,,,,,57.266,,,,,,,,,,,7487907,16.736,,,,,,,,,,,,,,
Vanuatu,Oceania,Oceania,East Asia & Pacific,1956,[1956],,,,,7.439,,,,,,,,,,,,1866.03624,,,114.7,,,44.037,,,,,,,,,,,56565,4.641,,,,,,,,,,,,,,
Venezuela,America - South,Central and South America,America,1956,[1956],,,,,6.442,10.0467278,-3,,,,,,,,,,8992.665166,,,69,,,57.191,,,,,,6.04271,10.34937,1.650201,,,6475873,7.1,,,,,8.36423,,,,,,13.073,,,65061.33333
Vietnam,Asia - Southern,Asia,East Asia & Pacific,1956,[1956],,,,,6.002,0.090897226,,,,,,,,,,,665.986811,,,,,,56.255,,,,,,,,,,,32028847,96.563,,,,,,,,,,,,,,2911.333334
Wallis et Futuna,Oceania,Oceania,East Asia & Pacific,1956,[1956],,,,,,,,,,,,,,,,,1833.35389,,,,,,,,,,,,,,,,,7965,39.825,,,,,,,,,,,,,,
West Bank and Gaza Strip,Asia - Western,Asia,Middle East & North Africa,1956,[1956],,,,,7.308,,,,,,,,,,,,1757.708914,,,,,,47.585,,,,,,,,,,,1004154,166.803,,,,,,,,,,,,,,
Western Sahara,Africa - Northern,Africa,Middle East & North Africa,1956,[1956],,,,,6.397,,,,,,,,,,,,,,,,,,36.858,,,,,,,,,,,22853,0.086,,,,,,,,,,,,,,
Yemen,Asia - Western,Asia,Middle East & North Africa,1956,[1956],,,,,,0.008254389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.66666667
Zambia,Africa - Eastern,Africa,Sub-Saharan Africa,1956,[1956],,,,,6.843,,,,,,,,,,,,1289.239657,,,131.1,,,43.52,,,,,,,,,,,2724859,3.621,,,,,,,,,,,,,,
Zimbabwe,Africa - Eastern,Africa,Sub-Saharan Africa,1956,[1956],,,,,6.929,,,,,,,,,,,,500.8956543,,,101.3,,,49.992,,,,,,,,,,,3305402,8.459,,,,,,,,,,,,,,
Afghanistan,Asia - Southern,Asia,South Asia,1960,[1960],,,,,7.671,0.04284266,-10,,,,,,,,,7.024793471,2605.494668,,,245,,,31.575,,,,18.311,0.034844249,,,,,1.913629795,9671046,14.831,,,,,,,,,,-2.892560213,,8,4.892477691,414.3333333
Aland Islands,Europe - Northern,Europe,Europe & Central Asia,1960,[1960],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20981,,,,,,,,,,,,,,,
Albania,Europe - Southern,Europe,Europe & Central Asia,1960,[1960],,,,,6.186,1.256701841,-9,,,,,,,,,,6661.028089,,,115.4,,,62.293,,,,19.677,0.276291221,,,,,3.125072023,1610565,56.024,,,,,,,,,,,,30.7,5.631799583,2024
Algeria,Africa - Northern,Africa,Middle East & North Africa,1960,[1960],,,,,7.648,0.570370529,,,,,,1280.384828,,,,67.14363183,11150.36604,,,144.7,,,46.136,,,,18.17,0.173148155,,,,,2.006014941,10799997,4.534,,,,,,,,13828152297,,-28.10045953,,30.5,4.933702419,6160
American Samoa,Oceania,Oceania,East Asia & Pacific,1960,[1960],,,,,,,,,,,,,,,,,15541.34508,,,,,,,,,,,,,,,,1.427231624,20041,100.709,,,,,,,,,,,,66.2,,
Andorra,Europe - Southern,Europe,Europe & Central Asia,1960,[1960],,,,,,,,,,,,,,,,,66888.83301,,,,,,,,,,,,,,,,7.101330095,13377,28.583,,,,,,,,,,,,58.5,,
Angola,Africa - Central,Africa,Sub-Saharan Africa,1960,[1960],,,,,7.316,0.11081855,,,,,,,,,,,12018.61891,,,208,,,32.998,,,,18.244,0.067068107,,,,,1.780922871,4963068,3.981,,,,,,,,,,,,10.4,4.89945784,550
Anguilla,America - Central,Central and South America,America,1960,[1960],,,,,,,,,,,,,,,,,13397.8939,,,,,,,,,,,,,,,,,5863,64.429,,,,,,,,,,,,,,
Antigua and Barbuda,America - Central,Central and South America,America,1960,[1960],,,,,4.425,0.670850333,,,,,,,,,,,9299.211243,,,,,,62.114,,,,,0.293577969,,,,,1.011372675,54657,123.658,,,,,,,,,,,,39.7,3.671971118,36.66666667
Argentina,America - South,Central and South America,America,1960,[1960],,,,,3.109,2.36652603,-1,,,,,5251.876754,,,,7.604046961,20954.26716,,,59.87,,,65.022,,,,27.07,1.350698471,,,,,1.636708835,20625451,7.418,,,,,,,,1.08E+11,,2.12E-06,,73.6,2.731216469,48810.66667
Armenia,Asia - Western,Asia,Europe & Central Asia,1960,[1960],,,,,4.55,,-7,,,,,,,,,,5565.34469,,,,,,65.971,,,,22.459,,,,,,3.55528978,1867396,62.664,,,,,,,,,,,,51.3,5.285572822,
Aruba,America - Central,Central and South America,America,1960,[1960],,,,,4.82,,,,,,,,,,,,9946.572313,,,,,,65.662,,,,18.193,,,,,,3.134829743,54209,301.161,,,,,,,,,,,,50.8,2.130125145,
Australia,Oceania,Oceania,East Asia & Pacific,1960,[1960],,,,,3.451,8.574057525,10,3.063554271,,,,9407.685082,,,,13.90081068,35693.89117,,,20.3,,,70.89,,,,29.608,,1.51282,1.946068,1.064503,,2.266911399,10286184,1.329,,,,653.7052889,6.79369,,44.3,96677859364,,-1.055078684,26.86483,81.5,2.783581409,88194.33333
Austria,Europe - Western,Europe,Europe & Central Asia,1960,[1960],,,,,2.696,4.375966908,10,1.546261468,,,,7434.183717,,,,23.26193335,30251.49016,,,37.2,,,68.78,,,,35.524,1.2,1.222318,1.729526,0.8021667,,0.510799365,7042634,83.983,,,,245.239658,16.31383,,44.76,52392699681,,-0.014108218,26.50052,64.7,0.596972371,30818.33333
Azerbaijan,Asia - Western,Asia,Europe & Central Asia,1960,[1960],,,,,5.571,,-7,,,,,,,,,,5763.087806,,,0,,,61.032,,,,22.609,,,,,,3.27139986,3894494,44.971,,,,,,,,,,,,47.7,4.28278669,
Bahamas,America - Central,Central and South America,America,1960,[1960],,,,,4.495,3.749455994,,,,,,11926.46097,,,,,27371.0223,,,51,,,62.881,,,,19.34,0.495575219,,,,,4.789352718,109527,7.892,,,,,,,,1306269490,,,,59.7,6.106470262,410.6666667
Bahrain,Asia - Western,Asia,Middle East & North Africa,1960,[1960],,,,,7.09,3.557340749,,,,,,,,,,,24747.81606,,,133.6,,,51.866,,,,18.504,0.449664444,,,,,3.500701713,161825,233.177,,,,,,,,,,,,82.3,5.25097546,575.6666667
Bangladesh,Asia - Southern,Asia,South Asia,1960,[1960],,,,,6.725,,,,,,,254.8250791,,,,9.307258439,1358.728063,,,175,,,47.037,,,,19.007,,,,,,2.878309934,50101943,347.935,,,,,,,,12767231590,,0.689426828,,5.1,3.856251352,
Barbados,America - Central,Central and South America,America,1960,[1960],,,,,4.333,0.746577944,,,,,,3396.945712,,,,65.68758344,10639.4771,,,71.9,,,61.03,,,,22.32,0.32943216,,,,,0.252885215,230831,536.816,,,,,,,,784120376,,-21.96261682,,36.8,0.441147975,172.3333333
Belarus,Europe - Eastern,Europe,Europe & Central Asia,1960,[1960],,,,,2.743,,-7,,,,,,,,,,6457.359983,,,,,,71.85,,,,28.196,,,,,,0.977389037,8190006,39.451,,,,,,,,,,,,32.4,3.16156329,
Belgium,Europe - Western,Europe,Europe & Central Asia,1960,[1960],,,,,2.604,9.942013299,10,2.519158979,,,,7454.716536,,,,38.50067422,20153.20498,,,29.4,,,69.65,,,,35.246,1.3,0.631354,0.7185667,0.5260541,,0.657711497,9152271,299.799,,,,164.9654797,6.294713,,25.38,68236665814,,-0.699982561,18.60953,92.5,0.666383731,90992
Belize,America - Central,Central and South America,America,1960,[1960],,,,,6.5,0.474992713,,,,,,950.4240054,,,,,3736.911906,,,,,,59.981,,,,17.605,0.241625488,,,,,3.093120737,92633,4.033,,,,,,,,86532304,,,,54,2.83419717,44
Benin,Africa - Western,Africa,Sub-Saharan Africa,1960,[1960],,,,,6.282,0.066676475,2,,,,,256.9787667,,,,12.11028601,1993.85084,,,191.9,,,37.263,,,,21.392,0.039785426,,,,,1.19710524,2419644,21.485,,,,,,,,621797131,,-5.986372201,,9.3,7.020827606,161.3333333
Bermuda,America - North,North America,America,1960,[1960],,,,,,3.52619298,,,,,,19588.6127,,,,,52354.7484,,,,,,,,,,,,,,,,1.350920759,44713,843.642,,,,,,,,869734404,,,,100,1.350920844,157.6666667
Bhutan,Asia - Southern,Asia,South Asia,1960,[1960],,,,,6.67,,-10,,,,,,,,,,1511.749291,,,175,,,32.369,,,,19.201,,,,,,2.62721162,225993,4.808,,,,,,,,,,,,3.6,7.102415695,
Bolivia,America - South,Central and South America,America,1960,[1960],,,,,6.696,0.299462924,-3,,,,,894.7569722,,,,,4235.563859,,,177,,,42.659,,,,18.723,0.26708445,,,,,2.210947737,3354895,3.054,,,,,,,,3001815692,,,,36.8,3.021590383,1004.666667
Bosnia and Herzegovina,Europe - Southern,Europe,Europe & Central Asia,1960,[1960],,,,,4.052,,-7,,,,,,,,,,3276.116582,,,105,,,60.35,,,,21.651,,,,,,1.436868491,3180020,62.113,,,,,,,,,,,,19,4.428512694,
Botswana,America - South,Africa,Sub-Saharan Africa,1960,[1960],,,,,6.615,,,,,,,237.5222245,,,,39.64390188,1906.522308,,,114.7,,,50.654,,,,17.233,0.041666668,,,,,2.27161207,523997,0.901,,,,,,,,124460933,,-13.36829249,,3.1,3.569664374,
Brazil,America - South,Central and South America,America,1960,[1960],,,,,6.21,0.644650535,6,,,,,1447.843809,,,,7.11728411,6088.256886,,,129.7,,,54.702,,,,18.55,0.373924285,,,,,2.956706423,72758801,8.546,,,,,,,,1.05E+11,,-0.058233518,,44.9,4.927170585,46904
British Virgin Islands,America - Central,Central and South America,America,1960,[1960],,,,,,,,,,,,,,,,,5326.84646,,,,,,,,,,,,,,,,,8015,53.079,,,,,,,,,,,,,,
Brunei,Asia - South Eastern,Asia,East Asia & Pacific,1960,[1960],,,,,6.487,4.178877673,,,,,,,,,,,83101.20062,,,63,,,62.422,,,,19.417,0.146341458,,,,,4.496823077,79846,13.85,,,,,,,,,,,,43.4,8.938978072,333.6666667
Bulgaria,Europe - Eastern,Europe,Europe & Central Asia,1960,[1960],,,,,2.245,2.833775348,-7,,,,,,,,,,7518.33102,,,49,,,69.18,,,,30.419,1.404728651,,,,,0.952936538,7867008,70.93,,,,,,,76.06,,,,,37.1,3.625321487,22293.33333
Burkina Faso,Africa - Western,Africa,Sub-Saharan Africa,1960,[1960],,,,,6.291,0.009012798,-7,,,,,122.207837,,,,15.83940465,1323.723285,,,160.2,,,34.432,,,,19.505,0.011015119,,,,,1.525917472,4881947,17.817,,,,,,,,596612183,,-10.97743922,,4.7,3.745739202,44
Burundi,Africa - Eastern,Africa,Sub-Saharan Africa,1960,[1960],,,,,6.953,,,,,,,116.0098612,,,,13.39285752,793.8832241,,,145.1,,,41.285,,,,18.012,0.010200612,,,,,1.801230991,2940498,105.644,,,,,,,,341126765,,-0.892857516,,2,2.806263958,
Cambodia,Asia - South Eastern,Asia,East Asia & Pacific,1960,[1960],,,,,6.967,0.043190401,-9,,,,,,,,,21.97309277,2341.576458,,,0,,,41.211,,,,18.638,0.028345298,,,,,2.401923015,5433306,30.012,,,,,,,,,,-8.071747638,,10.3,-2.596286535,234.6666667
Cameroon,Africa - Central,Africa,Sub-Saharan Africa,1960,[1960],,,,,5.647,0.050162538,-6,,,,,469.2004319,,,,,2772.626449,,,164.1,,,41.546,,,,19.837,0.033799093,,,,,2.069431814,5409083,11.377,,,,,,,,2537944080,,,,13.9,5.73051122,271.3333333
